,GW-34,Facklamia,Anaerostipes,Thioalkalivibrio,Fusibacter,CandidatusAzobacteroides,SMB53,Turicibacter,Tannerella,Desulfovibrio,Blvii28,Pseudomonas,Megamonas,Euzebya,Sufflavibacter,Ruminococcus,Succiniclasticum,Bacteroides,Epulopiscium,Corynebacterium,Thermacetogenium,Veillonella,Shuttleworthia,Prevotella,Gemella,Blautia,Bacillus,Serratia,Staphylococcus,Krokinobacter,Moryella,HB2-32-21,Clostridium,Caloramator,Dialister,Rikenella,Haemophilus,cc_115,Methanobrevibacter,Pectinatus,Peptococcus,Mogibacterium,Oribacterium,Coriobacterium,Coprobacillus,Anaerofilum,Roseburia,Odoribacter,Coprococcus,Thiobacillus,CF231,Papillibacter,Methylibium,Akkermansia,Porphyromonas,C39,Acidaminococcus,Eggerthella,Megasphaera,Wohlfahrtiimonas,Adlercreutzia,Lactobacillus,Bifidobacterium,Lachnospira,Oscillospira,Caldicoprobacter,Collinsella,Hylemonella,Propionibacterium,Actinomyces,Lautropia,Dorea,Paludibacter,Streptococcus,vadinHB04,Comamonas,BF311,Sporomusa,Desulfotomaculum,Bilophila,Mannheimia,Sutterella,Atopobium,Parabacteroides,Methylobacillus,Limnohabitans,Holdemania,Parvimonas,Anaerovorax,Dysgonomonas,Paraprevotella,Anaerotruncus,Phascolarctobacterium,Butyricimonas,Slackia,Ethanoligenens,Eubacterium,Butyrivibrio,Anaerovibrio,Hafnia,Klebsiella,PW3,Peptoniphilus,Lachnobacterium,Granulicatella,02d06,5-7N15,Barnesiella,Faecalibacterium,Pelosinus,Marvinbryantia,Pseudobutyrivibrio,Janthinobacterium,Enterobacter,Aggregatibacter,Nesterenkonia,Succinispira,Pseudoramibacter_Eubacterium,Friedmanniella,Kordia,Allobaculum,Anaerococcus,Morganella,Enterococcus,CandidatusPhlomobacter,Psychroflexus,Methanomassiliicoccus,Gallionella,Catenibacterium,Lactococcus,Dehalobacterium,Thiomonas,Butyricicoccus,Gracilibacter,Citrobacter,YRC22,Desulfosporosinus,Sarcina,Alkaliphilus,rc4-4,Solibacillus,Actinobacillus,1-68,Alistipes,Propionispora,Tepidibacter,Ramlibacter,Syntrophococcus,Succinatimonas,Streptomyces,Paenibacillus,Dok59,Peptostreptococcus,Mobiluncus,Rothia,Catonella,Chlorobium,Macrococcus,Sulfurospirillum,Succinivibrio,Robinsoniella,Anaerofustis,Sporobacter,Erwinia,CandidatusHamiltonella,Lysinibacillus,gut,Treponema,Citrullus,Acholeplasma,Cronobacter,Sharpea,Ureibacillus,Victoria,Jeotgalicoccus,Prauserella,Bulleidia,Anaerobaculum,Demequina,Desulfurispora,Ruminofilibacter,Mariprofundus,RFN20,Bombiscardovia,Melissococcus,Microbacterium,Olivibacter,Leptotrichia,Nocardia,Vagococcus,Gardnerella,Anaeroplasma,Synergistes,Brevibacterium,Kurthia,Tepidimicrobium,Trabulsiella,Kocuria,Meiothermus,Trichococcus,Roseiflexus,Syntrophomonas,Sulfuritalea,Rhodococcus,Salmonella,Fusobacterium,Halanaerobacter,Gloeobacter,Campylobacter,Massilia,Leuconostoc,Sphingobacterium,Salinispora,Victivallis,Filifactor,Selenomonas,Dermacoccus,CandidatusPortiera,Sedimentibacter,Rummeliibacillus,WH1-8,Finegoldia,Cloacibacillus,Brackiella,Virgibacillus,Thermosinus,Aerococcus,Christensenella,AF12,CandidatusRhodoluna,Dechloromonas,Moorella,Litorilinea,Hespellia,Yersinia,Thermobaculum,Saccharomonospora,Sanguibacter,Exiguobacterium,Sporotomaculum,Cellulosibacter,Xenorhabdus,Flexibacter,Mycobacterium,Oenococcus,Vibrio,Neisseria,Eikenella,Haloplasma,Anaerobacillus,Plesiomonas,Thiothrix,Leucobacter,Caldicellulosiruptor,Dethiosulfatibacter,Hydrogenophaga,Alloscardovia,Oxalobacter,E6,Nitrosococcus,Mycoplasma,Pontibacter,PSB-M-3,Sporosarcina,vadinCA02,Proteiniborus,Burkholderia,Acidovorax,Azoarcus,Zamia,Oligella,Thiopilula,Wautersiella,Edwardsiella,Escherichia,Opitutus,Acinetobacter,Pseudoalteromonas,Moraxella,Samsonia,Brenneria,Buchnera,Shigella,Gluconacetobacter,Sodalis,Aquamonas,Salinicoccus,Shewanella,Proteus,Salinivibrio,Providencia,Baumannia,Hahella,Alishewanella,Dickeya,Sediminibacterium,Alcanivorax,Pragia,Abiotrophia,Raoultella,Marinobacter,Photorhabdus,Pantoea,Cardiobacterium,Pseudidiomarina,Clostridiisalibacter,Pseudoxanthomonas,Gallibacterium,Caloranaerobacter,Chitinophaga,Garciella,Necropsobacter,Polaribacter,Kleidoceria,Methanobacterium,Glaciecola,Dehalobacter_Syntrophobotulus,Ellin506
0,0.0061128431,0.0030564215,0.4951402897,0.0030564215,0.0030564215,0.0213949508,0.3759398496,0.0183385292,0.0458463231,0.4217861727,0.0213949508,0.0030564215,2.6682560059,0.0030564215,0.0091692646,4.1659025613,0.0305642154,48.9271960389,0.0030564215,0.0061128431,0.0030564215,0.0702976955,0.1497646555,6.2656641604,0.0061128431,3.6004645761,0.0030564215,0.0030564215,0.0061128431,0.0030564215,0.0061128431,0.0030564215,0.5929457791,0.0030564215,0.2017238217,0.0030564215,0.0122256862,0.0305642154,0.0061128431,0.2995293111,0.0061128431,0.0030564215,0.0030564215,0.0030564215,0.073354117,0.1589339202,1.9255455712,0.547099456,2.6529738982,0.0030564215,0.0641848524,0.0030564215,0.0213949508,0.106974754,0.0122256862,0.0122256862,0.0030564215,0.0030564215,0.4920838682,0.0030564215,0.0152821077,0.0030564215,0.7518796992,5.7980316645,2.16089003,0.0030564215,0.3423192127,0.0061128431,0.0030564215,0.0152821077,0.0030564215,0.9597163641,0.0091692646,0.0764105385,0.0519591662,0.0030564215,0.0030564215,0.0213949508,0.0061128431,0.293416468,0.0030564215,2.8363591907,0.0183385292,2.4237422825,0.0030564215,0.0030564215,0.0091692646,0.0061128431,0.0030564215,0.2292316156,0.5654379852,0.0061128431,0.6173971514,1.5037593985,0.0244513723,0.0030564215,0.0091692646,0.073354117,0.0122256862,0.0061128431,0.0091692646,0.0122256862,0.0030564215,0.1222568617,0.0030564215,0.0030564215,0.333149948,0.0030564215,5.9966990647,0.0122256862,0.0030564215,0.0061128431,0.0122256862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.007416747,0.1483349403,,0.007416747,0.1557516873,0.0964177112,0.0519172291,0.014833494,0.0519172291,,,0.2299191575,,,2.4178595268,0.014833494,18.1191129571,0.007416747,0.0593339761,,0.1112512052,0.2818363866,1.4462656679,,3.3449529037,,,,,0.014833494,,0.6749239783,,1.3275977156,0.0667507231,0.0593339761,,0.1038344582,0.0593339761,0.014833494,0.007416747,,,0.1780019284,0.022250241,3.508121338,0.7639249425,2.0989394052,0.007416747,0.014833494,,0.014833494,0.2150856634,0.2225024104,,,0.0370837351,6.5860713491,,,0.0296669881,6.7937402655,6.9346584588,1.1644292813,,0.0445004821,0.007416747,,0.0370837351,0.007416747,0.9196766298,0.6823407254,0.3856708448,,,,0.007416747,,0.0370837351,,6.6009048431,,24.8386857524,0.022250241,,,0.007416747,,0.1409181933,0.0593339761,0.007416747,0.1631684343,0.1112512052,,,0.0964177112,0.0964177112,0.0296669881,0.007416747,,,,0.1335014463,,,0.0370837351,,7.5650819551,0.007416747,,,,0.014833494,0.022250241,0.014833494,0.0370837351,0.007416747,0.007416747,0.007416747,0.2002521694,0.007416747,0.022250241,0.022250241,0.007416747,0.007416747,0.007416747,0.007416747,0.014833494,0.014833494,0.007416747,0.007416747,0.007416747,0.007416747,0.007416747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0064188972,0.0064188972,0.2054047115,,0.0513511779,,1.2067526799,0.8601322293,0.0064188972,0.0064188972,0.0064188972,,3.1452596444,,,3.4597856088,0.1797291225,19.1283137557,,0.0064188972,,0.1027023557,0.2631747866,28.0890942936,0.0256755889,6.4381539252,0.0320944862,,0.0385133834,0.0064188972,0.0064188972,,0.8023621542,,4.371269016,,0.1155401502,,0.0064188972,0.3787149368,0.0192566917,0.0192566917,0.0192566917,,0.0770267668,0.3145259644,2.6766801464,0.0706078696,4.2300532768,,0.0064188972,,,0.0770267668,0.0064188972,,0.0064188972,0.0064188972,0.4557417036,,0.0192566917,0.0256755889,0.4557417036,6.0851145773,1.6175621028,,0.3209448617,,0.0064188972,0.0320944862,,1.3351306246,,0.9564156878,0.0513511779,,0.0064188972,0.0449322806,,0.0898645613,,1.3864818024,0.0128377945,0.5584440593,,0.0064188972,0.0449322806,0.0128377945,,0.0577700751,0.6290519289,,1.540535336,0.0385133834,0.083445664,,0.192566917,0.1219590474,0.0192566917,,0.0064188972,,,0.0898645613,0.0192566917,,0.0962834585,,6.8104499647,0.0064188972,0.0256755889,0.0064188972,,,0.0128377945,,,,,,,,,0.0128377945,,,,,0.0320944862,0.0192566917,,,,0.0064188972,,0.0064188972,0.0064188972,0.0064188972,0.0128377945,0.0128377945,0.0064188972,0.0192566917,0.0064188972,0.0128377945,0.0064188972,0.0064188972,0.0064188972,0.0128377945,0.0320944862,0.0064188972,0.0064188972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.2696282981,,0.0385183283,0.0064197214,0.9116004365,0.8409835013,0.0128394428,0.0064197214,0.0128394428,,2.7861590807,,,3.8325736663,0.1861719201,20.1707645888,,0.0192591642,,0.1219747063,0.3145663478,27.193939783,0.0128394428,6.6829299608,0.0577774925,,0.0192591642,,0.0064197214,,0.6098735315,,4.3333119343,,0.083456378,,0.0128394428,0.3209860692,0.0128394428,0.0064197214,0.0064197214,,0.0962958208,0.3466649547,2.5101110612,0.0706169352,4.294793606,,0.0064197214,0.0064197214,,0.083456378,,,0.0064197214,,0.4365410541,,0.0385183283,0.0192591642,0.4493804969,6.150093086,1.521473968,0.0128394428,0.5456763176,,,0.0320986069,,1.2454259485,0.0192591642,0.9051807152,0.0513577711,,,0.1027155421,,0.0513577711,0.0064197214,1.2646851127,0.0064197214,0.5906143673,,,0.0128394428,,,0.083456378,0.5199974321,,1.8232008731,0.0192591642,0.1283944277,0.0064197214,0.1155549849,0.1219747063,0.0320986069,,0.0064197214,,0.0128394428,0.1348141491,0.0577774925,,0.0770366566,,6.6829299608,0.0128394428,0.0192591642,,,,0.0064197214,,,,,,,,,0.0577774925,,,,,0.0256788855,0.0192591642,0.0128394428,0.0064197214,,,,0.0320986069,0.0064197214,,0.0064197214,,,0.0128394428,,0.0192591642,,,,0.0128394428,0.0320986069,,0.0064197214,0.0064197214,0.0128394428,0.0064197214,0.0064197214,0.0064197214,0.0064197214,0.0064197214,0.0064197214,0.0128394428,0.0064197214,0.0064197214,0.0064197214,0.0064197214,0.0064197214,0.0128394428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0065724614,0.0065724614,0.3713440684,,0.0460072297,0.0065724614,0.5225106802,0.0525796911,0.0098586921,0.0361485376,0.0131449228,,3.9106145251,,0.0032862307,2.70128163,0.0131449228,16.3424252383,0.0065724614,0.0032862307,,0.0131449228,0.3877752218,30.7656917516,0.0197173842,8.8432467959,0.0164311535,,0.0262898455,,0.0164311535,,0.7262569832,,0.4797896812,0.0197173842,0.0197173842,,0.0394347683,0.3319093,,0.0591521525,0.0098586921,0.0032862307,0.3253368386,0.0230036149,3.1777850805,0.1511666119,4.7058823529,,0.0591521525,,0.0098586921,0.042720999,0.0032862307,0.0131449228,,0.0032862307,0.0755833059,,,0.1018731515,0.8084127506,5.6457443313,0.6375287545,0.0065724614,0.1774564574,0.0032862307,,0.0098586921,,2.5468287874,0.0032862307,1.4032205061,,,0.0065724614,,0.0032862307,0.0098586921,,2.2609267171,0.0098586921,0.8774235951,,,0.0098586921,,,0.0953006901,0.2201774565,,0.0032862307,0.0788695366,0.0525796911,0.0032862307,2.0243181071,0.0788695366,0.0065724614,0.0032862307,0.0098586921,,,0.0197173842,0.0394347683,,0.0624383832,,7.3480118304,,,0.0098586921,,,0.0032862307,,,,,,0.0065724614,,,0.0295760762,0.0032862307,,0.0164311535,,0.7032533684,0.0262898455,,,,0.0032862307,0.0065724614,0.0295760762,,0.0032862307,,,,0.0032862307,,,,0.0065724614,,0.0230036149,,,,,0.0032862307,,0.0032862307,,,,,,,,,,,0.0065724614,0.0032862307,0.0032862307,0.0032862307,0.0032862307,0.0032862307,0.0164311535,0.0065724614,0.0032862307,0.0032862307,0.0032862307,0.0361485376,0.0032862307,0.0032862307,0.0032862307,0.0032862307,0.0032862307,0.0065724614,0.0032862307,0.0032862307,0.0065724614,0.0032862307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0033415759,,0.4210385618,,0.0167078794,0.0033415759,0.6382409945,0.0167078794,,0.0167078794,0.0133663035,,4.1636035554,,,2.4994987636,0.0167078794,15.7120898216,0.0066831518,0.0066831518,,0.0133663035,0.3174497093,31.2403929693,0.0033415759,8.8017108869,0.0267326071,0.0100247277,0.0066831518,,0.0066831518,,0.8420771236,,0.4210385618,0.0033415759,0.0534652142,0.0100247277,0.0367573348,0.354207044,,0.0267326071,0.0033415759,0.0066831518,0.3074249816,0.0200494553,2.8202900488,0.1704203702,4.8486266123,,0.0400989106,,0.0066831518,0.0400989106,0.0133663035,0.030074183,,0.0100247277,0.0768562454,,,0.1002472766,0.918933369,5.8277083473,0.681681481,0.0033415759,0.2272271603,,,0.0133663035,0.0066831518,2.5897213126,0.0033415759,1.450243935,,,0.0100247277,,0.0033415759,0.0334157589,,2.0851433536,0.0133663035,0.9022254895,,,0.0066831518,0.0100247277,,0.1035888525,0.2305687362,,0.0066831518,0.0534652142,0.030074183,0.0066831518,1.9080398316,0.1403461873,0.0167078794,0.0033415759,0.0100247277,0.0033415759,0.0033415759,0.0133663035,0.0400989106,0.0033415759,0.0400989106,,7.2812938582,,,0.0100247277,,,0.0033415759,,,,,,0.0066831518,,,0.0334157589,,,,,0.7685624541,0.0200494553,0.0033415759,,,,0.0133663035,0.0100247277,,0.0066831518,0.0066831518,,,0.0066831518,,,,0.0167078794,,0.0467820624,,,,,0.0066831518,,0.0133663035,,,,,,,,,0.0066831518,,0.0033415759,,0.0033415759,,,,0.0267326071,,,,0.0033415759,0.030074183,0.0066831518,,,,0.0033415759,0.0033415759,,,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0066831518,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,0.0033415759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.0040515355,0.2349890609,,0.0364638198,0.0081030711,0.5064419415,0.0121546066,,,0.0040515355,,6.3284985009,,,1.4707073981,0.0081030711,15.7402155417,,0.0040515355,0.0040515355,0.0202576777,0.0445668909,48.2618912568,,3.5329389839,0.0040515355,,0.0040515355,,,,0.9359047079,,0.3160197715,,0.0243092132,0.0040515355,0.0162061421,0.6725548983,,0.0081030711,,0.0040515355,0.1418037436,0.0121546066,0.6644518272,0.0040515355,1.5719957864,,0.0324122843,,0.0040515355,,0.0202576777,0.0202576777,,0.0081030711,0.1661129568,,,0.0648245685,0.3727412689,5.1454501256,0.6279880075,0.0040515355,0.1863706345,,,0.0324122843,,1.0047808119,0.0081030711,0.6847095049,,,0.0040515355,0.0040515355,,,,1.9447370553,0.0040515355,0.9278016368,,,0.0040515355,0.0040515355,,0.1377522081,0.2633498096,,0.0040515355,0.0405153553,0.0405153553,,1.2235637307,0.0445668909,0.0243092132,0.0040515355,,,,0.0040515355,0.0162061421,,0.0405153553,,4.8375334252,0.0081030711,0.0040515355,,,,,,,,,,0.0081030711,,,0.0324122843,,,,,1.203306053,0.0162061421,,,,,0.0081030711,0.0486184264,,,,0.0040515355,,,,,,,,0.0121546066,,,,,,,0.0040515355,,,,,,,0.0040515355,,0.0040515355,,0.0081030711,,,,,,0.0202576777,,,,0.0081030711,0.0121546066,,,,,,,,,0.0040515355,,,,,,,,,,,,,,,,0.0040515355,0.0040515355,0.0040515355,0.0040515355,0.0081030711,0.0040515355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0035070492,,0.0105211475,,0.0315634425,0.0070140983,0.333169671,0.0035070492,0.0771550817,0.0035070492,0.1999018026,,,,,0.3156344252,,59.6373711159,,,,1.0030160623,0.0035070492,15.8062706039,,1.038086554,0.0035070492,,0.0070140983,,,,0.0490986884,,0.6102265554,,0.1227467209,,,,,,0.0105211475,,0.0035070492,,0.3086203269,,0.4629304903,,0.0175352458,,0.021042295,,0.0526057375,,,,0.0070140983,,,0.0105211475,,1.2309742583,0.0561127867,,0.0526057375,0.0035070492,,,0.0315634425,0.2945921302,0.0105211475,0.0245493442,0.0035070492,,,,,,0.0035070492,7.000070141,,9.3077084941,0.0035070492,0.0140281967,,,,1.2379883566,0.2875780318,,,0.0105211475,,,,0.0385775409,,,,,,,0.0070140983,,0.1052114751,,0.0245493442,,0.0140281967,,,,0.0035070492,,,,,,,,,,,,,,,0.0035070492,,,,,,,,,,,,0.0035070492,,,,,0.0175352458,,,0.0035070492,,0.0035070492,,,,,,,,,,,,,,,,,,0.0035070492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035070492,,,,,,,,0.0035070492,0.0070140983,0.0140281967,0.0035070492,0.0035070492,0.0035070492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.9156596487,,,0.031144886,0.6851874922,0.1121215896,0.0560607948,0.0062289772,0.0124579544,,,0.0062289772,0.0124579544,3.9429425688,0.0249159088,49.2712096674,0.0062289772,,,0.0747477264,0.0872056808,2.2175158839,,2.8279556497,0.0186869316,,0.0062289772,0.0373738632,0.0186869316,,0.647813629,,1.1025289647,,0.0498318176,0.0560607948,,,,,0.0186869316,,0.2429301109,0.2553880653,1.1212158963,0.492089199,2.684689174,,0.0373738632,,0.0186869316,0.1494954528,0.0373738632,,0.0062289772,,0.0062289772,,0.031144886,0.0498318176,0.3737386321,7.7924504796,1.7752585026,,0.093434658,0.0062289772,,0.0186869316,0.0062289772,1.0153232839,0.0186869316,0.5668369254,0.0373738632,,,0.0498318176,,0.4422573813,0.0062289772,2.466674972,0.0124579544,2.9525351937,,,0.0062289772,,,0.3114488601,0.2429301109,0.0062289772,1.0340102155,0.0685187492,,0.0186869316,0.3239068145,0.1494954528,,,,0.0124579544,,0.0872056808,,0.0124579544,0.3239068145,,12.0966737262,,0.0124579544,0.0124579544,,,,,,,,,,,,0.0249159088,,,,,,0.0124579544,,,,,,,,,,0.0062289772,,,,0.0062289772,,,,0.0249159088,,,0.0062289772,,,,0.0062289772,,,,,0.0124579544,0.0124579544,,,0.0062289772,,0.0124579544,,,,,,,,,,,0.0062289772,,,,,,,,0.0062289772,,,0.0124579544,,,,,,,,,,,,,,,,,,,,,0.0124579544,,,,,0.0373738632,0.0062289772,0.0124579544,0.0062289772,0.0062289772,0.0124579544,0.0062289772,0.0124579544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0054725551,,0.9631697039,,0.0164176654,0.038307886,0.7880479396,0.0601981065,0.082088327,0.0109451103,0.0164176654,,,,0.0273627757,4.3616264434,0.0492529962,48.6729053795,,,,0.0766157719,0.1039785476,2.2601652712,,2.9551797734,0.0328353308,,,0.0164176654,0.0109451103,,0.6731242817,,1.0288403656,,0.0547255514,0.0164176654,,,,,0.0109451103,,0.1805943195,0.2462649811,1.1711267991,0.4980025174,2.697969682,,0.0328353308,,0.0054725551,0.1313413233,0.0273627757,,0.0218902205,,,,0.038307886,0.0218902205,0.361188639,7.3441689925,2.0357905106,,0.0985059924,,,0.0218902205,0.0164176654,1.0890384721,0.0328353308,0.5417829585,0.0164176654,,,0.0437804411,,0.4378044109,0.0054725551,2.5173753626,0.0054725551,3.3601488535,,,0.0109451103,0.0054725551,,0.2189022054,0.3283533082,0.0054725551,1.0780933618,0.0985059924,0.0054725551,0.0164176654,0.4049690801,0.1477589887,0.0054725551,,0.0054725551,0.0109451103,,0.0547255514,,0.0054725551,0.3721337492,,11.6839052153,,0.0054725551,,,,0.0109451103,0.0054725551,0.0054725551,,,,,,,0.0218902205,,,,,,,,,,,,0.0054725551,0.0109451103,,,,,,,0.0054725551,,,0.0109451103,,,,,,,,,,0.0054725551,,,0.0164176654,0.0054725551,,,,,0.0109451103,,,,,,,,,,,0.0054725551,0.0109451103,,,,0.0054725551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218902205,,,,,0.0109451103,,0.0054725551,0.0054725551,0.0054725551,0.0054725551,0.0054725551,0.0054725551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
